                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0284,                 3.1608,                 1.8415,                0.00778,                0.80769,                0.22422,                0.09621,                 2.1034,                 3.4166,                 1.8215,                 0.0002,                 0.0002,                 0.0002
                      2,                 2.0114,                 2.4443,                 1.7194,                0.00815,                0.84615,                0.24372,                  0.113,                 2.1018,                 3.2317,                 1.7153,             0.00041861,             0.00041861,             0.00041861
                      3,                 1.9604,                 2.4164,                 1.6524,                0.30935,                   0.25,                0.24074,                0.10009,                 2.1505,                 3.1974,                 1.8029,             0.00063578,             0.00063578,             0.00063578
                      4,                  1.839,                 2.1535,                 1.6113,                0.54407,                 0.1148,                0.13116,                0.06297,                 2.2473,                 3.2481,                 1.9007,             0.00085149,             0.00085149,             0.00085149
                      5,                 1.8679,                 2.0983,                 1.5938,                0.53253,                0.11538,                0.15085,                0.05672,                  2.351,                 3.1503,                 1.9184,              0.0010657,              0.0010657,              0.0010657
                      6,                 1.8641,                 2.0648,                 1.6482,                0.32994,                0.21154,                 0.2025,                0.07924,                 2.2664,                 3.0963,                 2.0275,              0.0012786,              0.0012786,              0.0012786
                      7,                 1.9034,                 2.0909,                 1.7608,                0.36698,                0.19231,                0.17039,                0.08625,                 2.2489,                 3.5794,                 2.0007,              0.0014899,              0.0014899,              0.0014899
                      8,                 1.8689,                 2.0051,                 1.6959,                0.29781,                0.21154,                0.17626,                0.07854,                 2.3424,                 2.9504,                 2.1635,              0.0016998,              0.0016998,              0.0016998
                      9,                 1.9112,                  2.042,                 1.7248,                0.34897,                0.19596,                0.18038,                0.10219,                 2.2893,                 3.3363,                 2.0124,              0.0019083,              0.0019083,              0.0019083
                     10,                 1.9794,                 2.0709,                 1.7408,                0.48136,                0.23077,                0.23079,                0.10893,                 2.3674,                 2.9575,                 2.2157,              0.0019406,              0.0019406,              0.0019406
