                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5893,                 3.7395,                 3.9519,                  1.547,                0.25807,                0.28143,                 0.1539,                0.08689,                0.21937,                0.23636,                0.12565,                0.05577,                 1.4141,                 2.9629,                 10.526,                 1.3643,                0.00016,                0.00016,                0.00016
                      2,                 1.3389,                  2.549,                 2.0915,                 1.3289,                0.38596,                0.33636,                0.29021,                0.17456,                0.37553,                0.32727,                0.26251,                0.12572,                 1.3708,                 2.7226,                 7.6067,                 1.3596,             0.00033888,             0.00033888,             0.00033888
                      3,                 1.3529,                 2.4987,                 1.8922,                  1.363,                0.39495,                0.40909,                0.32179,                0.17483,                 0.4624,                0.30909,                0.28716,                0.13861,                 1.6071,                 3.1249,                 3.9104,                 1.5266,             0.00051657,             0.00051657,             0.00051657
                      4,                  1.365,                 2.4164,                 1.7686,                 1.3476,                0.28774,                0.28182,                0.18696,                0.07884,                0.22733,                0.21818,                0.12239,                0.06324,                 2.0562,                   4.38,                 3.9863,                 2.0664,             0.00069307,             0.00069307,             0.00069307
                      5,                 1.5034,                 2.6048,                 1.8048,                 1.4818,                0.07597,                0.34545,                0.07403,                0.02909,                0.05975,                0.36364,                0.05271,                0.02301,                 1.8957,                 6.2624,                 19.663,                 2.1485,             0.00086838,             0.00086838,             0.00086838
                      6,                 1.5597,                 2.5541,                 1.6876,                 1.4392,                 0.0405,                0.31818,                0.02471,                0.01078,                0.03023,                0.26364,                0.01442,                0.00577,                 2.2465,                 7.7255,                 36.655,                 3.2759,              0.0010425,              0.0010425,              0.0010425
                      7,                 1.4985,                 2.5615,                 1.6991,                 1.4703,                0.03279,                    0.2,                0.03134,                0.01391,                0.02017,                0.16364,                0.01571,                0.00723,                 2.0422,                  5.825,                 35.254,                 2.1822,              0.0012154,              0.0012154,              0.0012154
                      8,                 1.5075,                 2.4289,                 1.8109,                 1.4317,                0.03355,                0.11818,                0.02121,                0.00863,                0.01879,                0.14545,                0.01332,                0.00754,                 2.3299,                 7.3372,                 21.671,                 2.3196,              0.0013872,              0.0013872,              0.0013872
                      9,                 1.5867,                 2.6805,                 1.7239,                 1.5283,                0.08102,                0.13636,                0.03248,                0.01452,                0.14753,                0.08182,                0.02707,                0.01092,                 2.4908,                 9.5728,                 4.5682,                 2.4661,              0.0015578,              0.0015578,              0.0015578
                     10,                 1.4687,                 2.4848,                 1.6193,                  1.461,                 0.0223,                    0.1,                0.00999,                0.00374,                0.02271,                0.09091,                0.01287,                0.00363,                 2.6714,                 16.059,                 16.486,                   4.53,              0.0017271,              0.0017271,              0.0017271
                     11,                 1.6322,                 2.6853,                 1.6763,                 1.5364,                0.00583,                0.13636,                0.00396,                0.00173,                0.00502,                0.15455,                0.00275,                0.00141,                 2.9798,                 36.614,                 95.669,                 9.1337,              0.0018953,              0.0018953,              0.0018953
                     12,                 1.6179,                  2.736,                 1.7747,                 1.4962,                0.00817,                0.15455,                0.00394,                0.00142,                0.00319,                0.06364,                0.00129,                0.00069,                 3.3971,                 89.703,                 224.63,                 12.503,              0.0019274,              0.0019274,              0.0019274
                     13,                 1.7055,                 2.6303,                  1.817,                 1.5368,                 0.0216,                0.21818,                0.01167,                0.00416,                0.01071,                0.10909,                0.00382,                0.00172,                 2.7625,                 111.98,                 28.013,                 7.7316,              0.0019274,              0.0019274,              0.0019274
                     14,                 1.6502,                 2.7473,                 1.7401,                 1.5699,                0.07365,                0.07273,                0.01869,                0.00616,                0.05539,                0.05455,                0.01004,                0.00356,                 2.8937,                  13.28,                 7.5228,                 4.4178,              0.0019208,              0.0019208,              0.0019208
                     15,                 1.5533,                 2.6021,                 1.6327,                 1.4892,                0.90475,                0.02727,                0.03115,                0.01146,                0.90475,                0.02727,                0.02858,                0.00566,                 3.2588,                 15.391,                 5.1079,                 3.5244,              0.0019142,              0.0019142,              0.0019142
                     16,                 1.6578,                  2.747,                 1.7414,                 1.5334,                 0.1409,                0.06364,                0.02992,                0.01572,                 0.1409,                0.06364,                0.03066,                0.01441,                 2.6091,                 6.5416,                 3.7101,                 2.7506,              0.0019076,              0.0019076,              0.0019076
                     17,                 1.5141,                  2.571,                 1.5623,                 1.4756,                0.23738,                0.18182,                0.10807,                0.05693,                0.24136,                0.17273,                0.10349,                0.05019,                  2.428,                 5.4883,                 3.6389,                 2.4161,               0.001901,               0.001901,               0.001901
