image 1/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\00c9sdfq.jpg: 640x480 1 potholes, 88.8ms
image 2/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\00yf8rxj.jpg: 384x640 1 potholes, 97.7ms
image 3/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\01lx7dej.jpg: 640x480 1 potholes, 25.9ms
image 4/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\01paoyy0.jpg: 448x640 2 potholess, 83.7ms
image 5/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\02oxhx7t.jpg: 384x640 1 potholes, 20.9ms
image 6/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\02p3im8e.jpg: 640x480 1 potholes, 25.9ms
image 7/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\02tbllvk.jpg: 352x640 (no detections), 71.8ms
image 8/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\03ktj7hp.jpg: 384x640 3 potholess, 20.9ms
image 9/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\04tuacho.jpg: 448x640 1 potholes, 26.9ms
image 10/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\04v26w5i.jpg: 352x640 (no detections), 20.9ms
image 11/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\05kp6zwl.jpg: 384x640 1 potholes, 20.9ms
image 12/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\05vpdhwn.jpg: 384x640 (no detections), 20.9ms
image 13/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0a9kzasw.jpg: 640x640 (no detections), 30.9ms
image 14/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0av740bq.jpg: 448x640 (no detections), 26.9ms
image 15/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0b28dz29.jpg: 384x640 (no detections), 19.0ms
image 16/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0bep6k5v.jpg: 448x640 3 potholess, 22.9ms
image 17/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0bn0qmym.jpg: 384x640 1 potholes, 18.9ms
image 18/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0c14jivc.jpg: 384x640 2 potholess, 17.0ms
image 19/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0ckafs2j.jpg: 448x640 6 potholess, 22.9ms
image 20/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0d1kpoj9.jpg: 384x640 1 potholes, 18.9ms
image 21/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0ddbexw5.jpg: 480x640 1 potholes, 94.7ms
image 22/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0dfm50lg.jpg: 640x480 1 potholes, 20.9ms
image 23/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0dfn9sju.jpg: 640x640 1 potholes, 23.9ms
image 24/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0dpfk39j.jpg: 512x640 (no detections), 72.8ms
image 25/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0du5icfr.jpg: 384x640 2 potholess, 17.0ms
image 26/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0e3kidbx.jpg: 448x640 1 potholes, 22.9ms
image 27/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0e49wb5l.jpg: 480x640 2 potholess, 20.9ms
image 28/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0e9ut2l7.jpg: 448x640 1 potholes, 20.9ms
image 29/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0f2av95u.jpg: 640x640 2 potholess, 24.9ms
image 30/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0fot9xkx.jpg: 384x640 1 potholes, 17.0ms
image 31/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0fsdvfdw.jpg: 384x640 2 potholess, 16.0ms
image 32/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0fu23ahc.jpg: 480x640 1 potholes, 21.9ms
image 33/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0fudotuv.jpg: 640x480 1 potholes, 19.9ms
image 34/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0fup8312.jpg: 384x640 (no detections), 17.0ms
image 35/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0gnxokvi.jpg: 640x480 1 potholes, 20.9ms
image 36/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0gzzp0qx.jpg: 352x640 1 potholes, 17.0ms
image 37/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0hcsdjnu.jpg: 640x480 3 potholess, 20.9ms
image 38/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0hhhtqli.jpg: 480x640 1 potholes, 21.9ms
image 39/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0i4iakfv.jpg: 640x480 1 potholes, 20.9ms
image 40/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0ib8nkkv.jpg: 640x640 (no detections), 22.9ms
image 41/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0ixyu5r3.jpg: 448x640 3 potholess, 21.9ms
image 42/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0jdpuelo.jpg: 384x640 1 potholes, 17.0ms
image 43/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0kf0vfiw.jpg: 640x640 3 potholess, 23.9ms
image 44/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0kkvp6ub.jpg: 384x640 (no detections), 17.0ms
image 45/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0km71apf.jpg: 384x640 4 potholess, 15.0ms
image 46/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0l2x26ir.jpg: 384x640 2 potholess, 14.0ms
image 47/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0l5k5my7.jpg: 480x640 1 potholes, 20.9ms
image 48/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0l67kefu.jpg: 640x544 1 potholes, 77.8ms
image 49/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0lcyvfws.jpg: 640x640 (no detections), 22.9ms
image 50/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0lfa00z0.jpg: 448x640 2 potholess, 20.9ms
image 51/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0m4hcijg.jpg: 448x640 (no detections), 20.9ms
image 52/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0mbhbw2j.jpg: 640x480 1 potholes, 18.9ms
image 53/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0mn50784.jpg: 640x640 (no detections), 23.9ms
image 54/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0n4iv2wy.jpg: 480x640 1 potholes, 20.9ms
image 55/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0ohxzjk1.jpg: 480x640 (no detections), 20.9ms
image 56/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0oq0bmaq.jpg: 480x640 (no detections), 20.9ms
image 57/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0p0jprga.jpg: 640x480 2 potholess, 18.9ms
image 58/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0p7owgt2.jpg: 448x640 11 potholess, 29.9ms
image 59/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0pdzaxwk.jpg: 448x640 2 potholess, 28.9ms
image 60/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0qcty84w.jpg: 384x640 2 potholess, 23.9ms
image 61/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0qipshhp.jpg: 448x640 1 potholes, 30.9ms
image 62/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0qjhaz00.jpg: 480x640 22 potholess, 30.9ms
image 63/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0r0hr6zl.jpg: 480x640 (no detections), 24.9ms
image 64/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0r0phzkz.jpg: 448x640 2 potholess, 25.9ms
image 65/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0r5j874g.jpg: 512x640 2 potholess, 25.9ms
image 66/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0rr0ir7q.jpg: 416x640 1 potholes, 85.8ms
image 67/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0ru4f61k.jpg: 448x640 1 potholes, 26.9ms
image 68/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0s6ygyps.jpg: 384x640 3 potholess, 20.9ms
image 69/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0t1brdpw.jpg: 448x640 2 potholess, 26.9ms
image 70/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0t2a9xco.jpg: 480x640 (no detections), 27.9ms
image 71/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0to7zwln.jpg: 480x640 2 potholess, 26.9ms
image 72/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0u3qadhq.jpg: 480x640 2 potholess, 23.9ms
image 73/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0v3gk5yt.jpg: 448x640 3 potholess, 23.9ms
image 74/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0vjiilzn.jpg: 640x480 3 potholess, 22.9ms
image 75/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0vsj9aad.jpg: 640x640 4 potholess, 28.9ms
image 76/448 E:\University\PythonProject\UltralyticsPotholes\potholes\part1\0wbvofjx.jpg: 480x640 2 potholess, 25.9ms
